21STCENMGM
LOTUSEYE
LPDC
LUDLOWJUT
LUMAXAUTO
LUMAZAUTO
LUXIND
LYCOS
LYKALABS
LYPSAGEMS
MAANALU
MACINTR
MADHAV
MADHUCON
MADRASFERT
MAGNAELQ
MAGNUM
MAHASTEEL
MAHSEAMLES
MAINFRA
MAITHANALL
MAJESAUT
MALUPAPER
MANAKALUCO
MANAKCOAT
MANAKINDST
MANAKSTELTD
MANDHANA
MANGAKAM
MANGIND
MANGTIMBER
MANINDS
MANORG
MANUGRAPH
MARALOVER
MARATHON
MARKSONS
MASTEK
MAWANASUG
MAZDA
MBECL
MBLINFRA
MCDHOLDING
MEGASOFT
MENONBE
METALFORGE
MIC
MIDHANI
MINDACORP
MINDTECK
MIRCELECTR
MLKFOOD
MMTC
MNKALCOLTD
MODERN
MODIRUBBER
MOHITIND
MOHOTAIND
MOLDTECH
MONNETISPA
MONOT
MOREPENLAB
MOSCHIP
MOSERBAER
MOTOGENFIN
MRO-TEK
MSPL
MTEDUCARE
MTNL
MUKTAARTS
MUL
MUNJALAU
MURUDCERA
MUTHOOTCAP
MUTHTFN
MVL
MYSOREBANK
N100
NACLIND
NAGAFERT
NAGREEKCAP
NAGREEKEXP
NAHARCAP
NAHARINDUS
NAHARPOLY
NAKODA
NATCOPHARM
NATHBIOGEN
NATNLSTEEL
NATPLAS
NAVINFLUOR
NAVNETEDUL
NBIFIN
NDTV
NELCAST
NELCO
NEOCORP
NEULANDLAB
NEXTMEDIA
NFIL
NILE
NILKAMAL
NIPPOBATRY
NIRVIKARA
NITCO
NITESHEST
NITINFIRE
NKIND
NOBLEXP
NOIDA-TOLL
NRAIL
NTCIND
NTL
NUTRA
OASIS
OILCOUNTUB
OISL
OKPLA
OMAXAUTO
OMKARCHEM
ONELIFECAP
ONMOBILE
ONWARDTEC
OPTIEMUS
OPTOCIRCUI
ORBITCORP
ORBTEXP
ORCHIDPHAR
ORIENTABRA
ORIENTALTL
ORIENTBELL
ORIENTHOT
ORIENTLTD
ORTEL
ORTINLAB
OUDHSUG
PALREDTEC
PANACEABIO
PANAENERG
PANAFIC
PANCHSHEEL
PANORAMUNI
PAPERPROD
PARABDRUGS
PARACABLES
PARENTLD
PARRYSUGAR
PARSVNATH
PATELENG
PATSPINLTD
PBAINFRA
PDUMJEIND
PDUMJEPULP
PEARLPOLY
PETRONENGG
PFOCUS
PGEL
PHILIPCARB
PINCON
PINCONLIFE
PIONDIST
PIRPHYTO
PITTILAM
PKTEA
PMCFIN
PNBGILTS
POCHIRAJU
POLARIS
POLYMED
PONNIERODE
POWERMECH
PRABHAT
PRADIP
PRAENG
PRAJIND
PRAKASHCON
PRAKASHSTL
PRATIBHA
PRAXIS
PRECOT
PRECWIRE
PREMIER
PREMIERPOL
PRIMESECU
PROVOGE
PROZONINTU DECOMIC
PSL
PUNJABCHEM
PURVA
PVP
QUANTBUILD
RADHEDE
RAIN
RAINBOWPAP
RAIREKMOH
RAJGLOWIR
RAJOIL
RAJRAYON
RAJSREESUG
RAJTV
RAMANEWS
RAMAPHO
RAMCOSYS
RAMKY
RANASUG
RANEENGINE
RASANDIK
RBL
REFEX
REIAGROLTD
RELIGARE
REMSONSIND
RENUKA
REPRO
REVATHI
RIIL
RISHIROOP
RJL
RKDL
RML
ROHLTD
ROLLT
ROSSELLIND
ROTO
RPGLIFE
RPPINFRA
RSSOFTWARE
RTNINFRA
RTNPOWER
RUBYMILL
RUBYMILLS
RUCHISOYA
RUSHIL
SABEVENTS
SABTN
SADHNANIQ
SAGARSOFT
SAGCEM
SAHARA
SAIBABA
SAKHTISUG
SAKSOFT
SAKTHIFIN
SAKUMA
SALONA
SALORAINTL
SALSTEEL
SALZER
SAMBHAAV
SAMPRE
SAMRATPH
SAMTEL
SANDESH
SANGHVIFOR
SANGHVIMOV
SANGUI
SANKHYAIN
SANWARIA
SARDAPLY
SASKEN
SATHAISPAT
SATIN
SBTL
SCANPGEOM
SCAPDVR
SDBL
SEASONST
SEATV
SEINV
SELMCL
SEPOWER
SEQUENT
SERVALL
SESHAPAPER
SEYAIND
SHAHALLOYS
SHARDACROP
SHARONBIO
SHARP
SHBCLQ
SHEMAROO
SHERVANI
SHIVACEM
SHIVAMAUTO
SHIVTEX
SHOPERSTOP
SHREDIGCEM
SHREEPUSHK
SHREERAMA
SHRENUJ
SHREYAS
SHRIDINE
SHRISTI
SHYAMCENT
SHYAMTEL
SICAGEN
SIGNET
SILINV
SIMPLEX
SITASHREE
SKIL
SKMEGGPROD
SKP
SKYIND
SMARTLINK
SMFIL
SMPL
SMSLIFE
SMSPHARMA
SNTCL
SOLISMAR
SOMATEX
SORILHOLD
SORILINFRA
SPECIALITY
SPENTEX
SPHEREGSL
SPICEJET
SPICEMOBI
SPLIL
SPMLINFRA
SPYL
SREEL
SRHHYPOLTD
SRSLTD
STAMPEDE
STARLIT
STARLOG
STARPAPER
STCINDIA
STEELXIND
STEERINTER
STEL
STERLINBIO
STERTOOLS
STINDIA
STOREONE
STRTECH
SUBROS
SUCROSA
SUDAR
SUDARSCHEM
SUDTIND-B
SUJANATWR
SUJANAUNI
SUMEETINDS
SUNDARAM
SUNDRMBRAK
SUNILHITEC
SUPPETRO
SUPREMEINF
SUPREMETEX
SURANAIND
SURANASOL
SURATEX
SURYACHAKRA
SUVEN
SWANENERGY
SYNCOM
SYNCOMF
TAALENT
TAINWALCHM
TAKE
TALBROAUTO
TALWALKARS
TANAA
TANLA
TANTIACONS
TARAJEWELS
TARAPUR
TARMAT
TASTYBITE
TATAMETALI
TATASTEEL-E1
TATAYODOGA
TCIDEVELOP
TCIEXP
TCIFINANCE
TECHNOFAB
TERASOFT
TEXINFRA
TEXMOPIPES
TEXRAIL
TFL
THANGAMAYL
THEMISMED
THIRUSUGAR
TI
TIJARIA
TIL
TIMESGTY
TIMETECHNO
TINPLATE
TIPSINDLTD
TPLPLAST
TREEHOUSE
TRF
TRICOM
TRIGYN
TRILOGIC
TTIL
TTKHLTCARE
TTL
TTML
TULSI
TVSELECT
TVVISION
UBHOLDINGS
UCALFUEL
UGARSUGAR
UJAAS
ULTRACAB
UNITECH
UNITEDTEA
UNITINT
UNITY
UNIVCABLES
UPERGANGES
URJA
URJAGLOBA
USHAMART
USHERAGRO
UTTAMSTL
UTTAMSUGAR
UTTAMVALUE
UVBOARDS
UVSL
V2RETAIL
VADILALIND
VAIBHAVGBL
VALECHAENG
VALUEIND
VARDMNPOLY
VEDAVAAG
VEERENERGY
VENKEYS
VENKEYS
VENTURA
VENUSREM
VERTEX
VESUVIUS
VHL
VIAANINDUS
VICEROY
VIDHIING
VIJAYTX
VIJIFIN
VIJSHAN
VIKASECO
VIKASGLOB
VIKASWSP
VIMTALABS
VIPCLOTHNG
VIPIND
VIPULLTD
VISASTEEL
VISESHINFO
VISTAPH
VIVIDHA
VIVIMEDLAB
VKJINFRA
VLSFINANCE
VMART
VSSL
WALCHANNAG
WEBELSOLAR
WEIZFOREX
WEIZMANIND
WELCORP
WELINV
WELSPUNIND
WELSYNTEX
WENDT
WINDMACHIN
WPIL
WSI
XCHANGING
XPROINDIA
YASHPPR
YOGISUNG
YUVRAAJHPL
ZANDUREALT
ZENITHBIR
ZENITHEXPO
ZENITHEXPO
ZENTEC
ZICOM
ZUARI
ZUARIGLOB
ZYDEN
ZYLOG
